Label;boot;user;type;zulu is gps;zulu hour;zulu min;zulu sec;date valid;zulu day;zulu mo;zulu year;nav port;sel course;cdi;vor from;vor to;gsi;brg 1 port;brg 2 port;brg 1;brg 2;dtw/dme;type;oil pres;man pres;oil temp;fuel pres;volts;amps;rpm;fuel flow;type;gals rem;fuel lvl 1;fuel lvl 2;ems gp 1;ems gp 2;ems gp 3;gp t-couple;contact 1;contact 2;contact 3;contact 4;contact 5;contact 6;type;egt 1;egt 2;egt 3;egt 4;egt 5;egt 6;cht 1;cht 2;cht 3;cht 4;type;cht 5;cht 6;hobbs;tach;hs34 gp 1;hs34 gp 2;hs34 gp 3;type;pitch;roll;heading;turn rate;airspeed;altitude;vert spd;gz;aoa %;oat;type
1344;0;0;0;0;14;52;36;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;49;13,3125;188;5,625;14;23,75;909;0;3;24,875;0;0;-45,5625;902,9375;-1378,1875;514;1;1;0;0;0;0;4;981;1015;992;985;410;492;448;442;487;469;5;307;460;8,125;4,375;0;0;0;6;-0,75;-0,5;44,125;-0,25;20,5;384;1;1;100;-46;7
1350;0;0;0;0;14;52;41;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;49;12,5;184;5,625;14;23,375;899;0;3;24,875;0;0;-45,3125;901,9375;-1384,875;512;1;1;0;0;0;0;4;978;1015;990;983;408;488;449;443;487;469;5;305;455;8,125;4,375;0;0;0;6;-0,5;-0,75;44,125;-0,625;20;384;13;1;100;-45;7
1356;0;0;0;0;14;52;46;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;49;16;186;5,625;14,0625;25,0625;1215;0,8125;3;24,875;0;0;-45,5625;902,8125;-1390,5;511;1;1;0;0;0;0;4;977;1015;992;982;406;485;449;443;487;470;5;304;449;8,125;4,375;0;0;0;6;-0,25;-0,625;44,125;-0,625;20,25;384;-16;1;100;-46;7
1362;0;0;0;0;14;52;51;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;55;17,0625;194;5,625;14,0625;27,1875;1350;1,5625;3;24,875;0;0;-45,5625;902,6875;-1377,125;510;1;1;0;0;0;0;4;1038;1077;1064;1034;404;482;450;445;489;471;5;303;444;8,125;4,375;0;0;0;6;2,125;0;44,125;2,5;18,75;384;24;1;100;-46;7
1368;0;0;0;0;14;52;56;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;50;11,875;189;5,625;13,875;20,3125;776;1,125;3;24,875;0;0;-45,5625;903,1875;-1414,6875;508;1;1;0;0;0;0;4;1066;1103;1102;1067;402;479;453;448;491;473;5;302;439;8,125;4,375;0;0;0;6;1,125;0,5;44,125;-0,625;19,5;384;-33;1;100;-46;7
1374;0;0;0;0;14;53;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;50;13,0625;190;5,625;14;25,8125;1027;1,1875;3;24,875;0;0;-45,5;902,5625;-1372,3125;507;1;1;0;0;0;0;4;1039;1073;1074;1045;400;477;453;448;491;474;5;300;434;8,125;4,375;0;0;0;6;0,125;-0,625;44,125;4,5;20;384;-9;1;100;-46;7
1380;0;0;0;0;14;53;6;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;51;14,0625;198;5,625;14,0625;26,1875;1131;1,875;3;24,875;0;0;-45,4375;902,0625;-1368,875;505;1;1;0;0;0;0;4;1045;1081;1076;1047;398;474;454;448;492;474;5;299;429;8,125;4,375;0;0;0;6;0,5;1,5;44,125;7;21;384;27;1;100;-45;7
1386;0;0;0;0;14;53;11;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;53;14,5;196;5,625;14,0625;25,9375;1209;2,25;3;24,875;0;0;-45,5625;902,6875;-1366,125;504;1;1;0;0;0;0;4;1063;1099;1095;1065;396;471;455;450;493;476;5;298;424;8,125;4,375;0;0;0;6;-0,25;2,875;44,125;7,125;21;385;29;1;100;-46;7
1392;0;0;0;0;14;53;16;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;54;14,4375;197;5,625;14,0625;26,75;1169;1,8125;3;24,875;0;0;-45,5;903,625;-1354,0625;502;1;1;0;0;0;0;4;1089;1125;1126;1094;394;468;458;452;495;478;5;296;419;8,125;4,375;0;0;0;6;0,25;3,375;44,125;-0,375;22;386;8;1;100;-45;7
1398;0;0;0;0;14;53;21;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;52;14,625;194;5,625;14,0625;23,3125;1160;2,1875;3;24,875;0;0;-45,4375;903;-1335,4375;502;1;1;0;0;0;0;4;1088;1122;1117;1094;392;465;459;453;497;480;5;295;414;8,125;4,375;0;0;0;6;0;2,875;44,125;-0,75;22,75;386;-8;1;100;-45;7
